Time [h]	Conc. [gCOD m-3]
6.01782798	357.2525025
6.026544537	385.188036
6.039240207	372.0858182
6.043713513	379.429945
6.069988303	414.7039282
6.078789498	387.6019827
6.100367748	337.0148764
6.118827783	432.7002349
6.122294596	376.9650986
6.15395815	425.0125751
6.163456115	364.206395
6.169585473	342.7974236
6.198307669	348.7284563
6.215532121	359.2982719
6.218594942	339.4617153
6.249411053	326.0206745
6.266076081	335.3684122
6.294864816	351.1310408
6.306420857	377.291889
6.323523799	370.6641444
6.368467911	365.1753461
6.380397439	381.4227533
6.39624982	411.7584139
6.422751675	442.8106926
6.430811274	458.8161184
6.452335142	405.230314
6.472768594	387.0264424
6.501089473	341.7386915
6.501576043	363.3286922
6.533689674	329.2485941
6.552864143	345.5403762
6.5656718	357.5669788
6.588428818	395.1128463
6.589158673	430.6685958
6.614153963	409.6107211
6.62729361	421.225528
6.649250089	437.0533242
6.687770228	423.9635432
6.689118432	415.9473597
6.700096672	407.6843055
6.744339802	407.7046446
6.769582031	393.3602279
6.796242937	386.1174947
6.799189728	406.2050436
6.834146754	379.5938825
6.834282707	418.4425642
6.845372622	398.4349162
6.857258837	389.0903496
6.865004508	431.1595804
6.867344109	406.1152016
6.905731746	391.4009694
6.91118703	409.9232301
6.93230513	438.1500514
6.938854538	426.1653836
6.96938207	405.4399947
6.974800287	461.0017232
6.989768113	431.3825532
7.018118935	462.6006434
7.022243552	470.8622464
7.043577783	455.0625351
7.069890001	446.1131132
7.070376571	435.246098
7.100145818	461.3145876
7.107709773	453.5604869
7.129365094	442.7836257
7.154942466	473.5565203
7.187367028	449.7193802
7.203940082	422.5777373
7.233696889	432.7320035
7.249063673	473.5753214
7.275257367	437.7138366
7.284986453	422.1364799
7.315921852	442.7662363
7.330594297	427.7767531
7.332947528	454.6120513
7.368366044	436.3271061
7.373266501	517.293162
7.375585819	454.4927907
7.402703996	445.3932537
7.418005789	432.7762901
7.427356885	420.477506
7.455918158	409.6352282
7.484983012	460.4921694
7.487756462	429.705537
7.506406908	474.9404639
7.529956407	463.3367296
7.548772361	451.7662084
7.568417632	471.7375013
7.574041572	503.0644405
7.583491846	488.6318375
7.618054229	511.5404871
7.621417288	495.9958482
7.644720523	523.9334971
7.670260346	506.9291195
7.681548155	487.5988227
7.693731346	519.4581141
7.726042038	533.3618707
7.754668004	519.5852291
7.765101459	481.5359706
7.782285972	439.1411107
7.807422251	423.9153083
7.808244014	456.7076867
7.826856944	447.4440291
7.866891938	476.1459177
7.885489731	450.6764974
7.900307144	437.8428343
7.913691142	467.6379614
7.925037073	459.4689798
7.959961999	455.5131107
8.000111495	446.539458
8.024362659	457.6926517
8.028711274	490.6662932
8.056005544	501.7602675
8.062168766	528.9273621
8.086590534	517.7002557
8.105797891	479.620563
8.112905291	455.5166214
8.137124423	443.7245179
8.144932035	419.4838068
8.167770316	410.0583517
8.183378801	451.2614214
8.185433209	439.7406165
8.188977062	428.1034375
8.22011925	457.851692
8.229602968	384.8078267
8.241735076	439.9146284
8.249266581	374.7104299
8.278223942	385.7883986
8.291630267	376.6718221
8.324182747	368.2131877
8.353336989	398.5796207
8.385737929	386.3281406
8.386765132	368.3829408
8.416554039	354.3804829
8.436940082	368.2402088
8.458869821	432.2557844
8.467993239	483.9338466
8.48883983	521.1053599
8.499919728	533.5634617
8.512978644	502.0318914
8.539818482	466.258189
8.543182279	436.4986483
8.565241774	491.9684382
8.582249896	502.0730661
8.60334708	482.131873
8.632753385	436.0298743
8.634788132	452.7162381
8.668585802	457.6822838
8.67250903	472.275012
8.701331157	454.9641204
8.70622548	438.3565635
8.715470313	466.3625962
8.736040067	478.3505923
8.757887783	451.5429291
8.759205486	463.7061328
8.798673812	486.1310558
8.803296229	444.0845016
8.818704284	466.4239582
8.840275562	452.6715279
8.850394906	436.4568671
8.863387645	411.9734892
8.881877311	400.5530096
8.918196299	431.0867331
8.920216178	417.6311464
8.953722872	440.6779778
8.964678861	427.848321
8.982778062	398.2196125
9.003691584	409.475594
9.015927393	422.4923799
9.032035814	436.5452929
9.057760263	462.5741295
9.065981561	488.9886359
9.087112609	476.5403654
9.096885718	435.0472163
9.118450223	408.788067
9.140732641	424.5666433
9.149490904	450.4886674
9.168467141	473.1522392
9.203313051	460.5111487
9.221624932	439.0564753
9.238158961	420.2949697
9.25444409	428.5073281
9.284027556	438.5582519
9.28787957	423.5717113
9.309823623	405.4087012
9.335603994	420.6055325
9.364721743	398.9710296
9.388843976	367.2809978
9.408832805	352.9819772
9.409346406	389.5876571
9.438066466	400.8925107
9.448810462	381.4539279
9.47149223	341.7011255
9.47169767	366.9222488
9.500794567	327.0517067
9.502821942	339.7314336
9.553344145	343.1182535
9.574897401	367.0498676
9.600840879	385.2150284
9.614467879	394.8464038
9.61915276	365.1898236
9.649198468	378.7180229
9.667688135	369.1841101
9.667688135	398.1023311
9.686907656	389.0335186
9.718534717	413.1213845
9.723157134	449.9491232
9.750161778	470.8898443
9.7693813	446.8000021
9.78491262	395.3088367
9.802076442	381.4400833
9.81098305	401.3993975
9.821768688	408.2272557
9.853278162	416.9333886
9.872615271	399.1418229
9.892337582	362.6297431
9.923280582	357.7682186
9.936019419	347.4680458
9.95581877	377.1668752
9.966841456	423.2223138
9.987851306	405.489206
10.007898	389.2653689
10.01469955	368.9427225
10.0197622	356.2511102
10.07175499	359.6655061
10.08370563	308.4166295
10.08444522	328.6061058
10.12141482	301.7737637
10.1326356	321.4275773
10.15304188	339.6590814
10.16382752	356.795584
10.18393908	369.4297112
10.18539879	347.0197821
10.20917122	342.0522021
10.22060028	354.7351289
10.23558503	335.5130203
10.26694296	345.7976131
10.27736056	333.1642943
10.30612544	324.203436
10.31898663	351.0452255
10.34071199	312.102475
10.34784372	362.3236654
10.34995683	337.8031077
10.37645868	352.2723753
10.40057229	363.3906785
10.42114204	377.4434625
10.43500929	326.9791134
10.43993987	350.719457
10.44953689	332.7560448
10.4802771	343.2711692
10.49941496	331.911708
10.51557141	314.0920322
10.53554685	319.6974049
10.54671769	330.5632994
10.58328219	320.361098
10.58754904	331.6582002
10.61895777	349.6305233
10.62584906	333.9096255
10.64764046	341.7884367
10.65509597	326.8139056
10.67049574	303.3612803
10.69045863	315.9738528
10.69848704	344.4637475
10.72714602	326.7856855
10.73193158	336.5483638
10.74933362	319.5185848
