Time [d]	Temp. [C]
1.426876024	18.36178824
4.017561386	17.46997075
6.457752774	18.2776289
6.591829223	19.05027334
10.60607813	19.05410012
12.84479125	19.86501542
15.23764324	19.3618823
16.21608057	18.74761009
19.94584363	18.85742642
21.68513882	19.48007881
23.63562753	19.86774574
26.26888901	19.60132919
26.42748229	20.25570801
28.70057347	19.87029692
30.66572351	19.18872383
33.43661602	18.08428556
35.22209093	19.05171198
37.54154936	20.06203335
39.90856214	20.88124675
42.22041117	20.45524708
43.11425417	20.73952192
44.56227983	21.14953371
46.38571954	20.63382999
48.04443677	20.84143914
51.06569331	21.06983317
53.35678594	20.6839271
55.7374383	21.64627342
58.07718597	22.06796012
61.80694903	22.42727955
62.90393817	22.6583771
66.85001979	22.6603912
68.94326469	21.81395282
71.08183546	22.03187909
73.24123245	22.22103119
75.19795993	22.42491157
77.53399051	22.61935529
79.82773805	22.81623164
82.74355409	23.04916076
85.07312632	22.26965715
87.36240793	22.66046444
89.17786285	23.05044121
91.53320364	22.35384286
93.94757597	20.17442497
96.20852831	19.4766856
98.58742761	20.682706
100.0457963	21.49886376
102.7202558	21.26672254
105.0546487	21.64363519
105.6206951	21.92035588
105.701141	22.46703827
108.1145171	22.46703827
111.9989034	22.46157144
114.0215424	21.58687962
116.2076751	20.45050229
118.0194148	21.41501635
119.2160471	21.64701469
123.2056169	21.64238178
125.4937503	22.07004746
127.8237552	21.26919641
129.562371	19.16574605
131.9930705	19.4766856
134.4122719	20.25680137
136.2253207	20.64419418
138.8809579	20.88746087
141.4275752	21.45366176
141.5799989	20.65986249
145.513802	20.68321363
146.8170251	19.7128524
148.8201272	20.50991532
150.1189624	19.86642045
151.9709238	20.45980277
154.344077	20.06710258
156.680838	20.45485659
159.0409867	20.06508849
160.7060045	19.70834227
163.2565043	19.4364299
166.0176665	19.67349126
168.3981116	20.25844142
168.4891424	20.69032051
172.2357617	20.71472121
174.8494854	20.45564467
176.8260161	19.86774574
177.288831	17.73825012
179.6447654	19.4766856
181.9130177	19.8648301
183.3379281	20.42126412
186.2909667	20.7153528
188.2557196	20.27821504
190.6034085	19.99128908
193.1596715	19.4766856
194.7863227	16.06890189
196.5738336	16.84679062
198.9057259	17.03957552
201.810971	17.27199363
202.5579683	17.90224033
206.2182554	17.93230786
207.9478416	17.69825946
208.9936379	17.47036124
212.4167484	17.43115092
215.3000195	17.65389033
216.1533204	17.95144174
219.7458031	17.92988684
221.884066	17.65623325
222.5085441	16.89087791
226.4969656	16.8845479
228.1785909	16.02975889
230.4816236	16.29317183
233.5899627	16.07065908
233.7173353	16.47175474
237.6662396	16.45813564
238.4368263	15.67724301
241.8985938	15.63633
244.7643101	15.87254058
247.0445344	16.45899882
248.1546874	16.84823668
250.649515	17.11296763
251.9195541	16.88541108
255.9074501	16.88541108
257.7237236	15.64000027
262.2826758	15.86771866
264.6621799	15.05690236
265.4206696	16.07241627
267.7995689	15.77017901
268.8972657	16.10718225
271.721305	15.87268196
273.873232	15.28363169
275.8154252	14.78907937
277.6651578	15.44167259
278.9010989	15.67177618
281.314475	15.67997642
285.2065925	15.6774418
287.4213658	15.28101712
289.3411851	14.68106621
291.3242397	15.02590999
292.416005	15.27816486
294.8025659	15.29456533
298.0666339	15.25837119
301.099925	15.48446553
302.8279991	15.05617276
305.2068984	14.67940378
307.032014	14.20290894
309.792313	13.9731559
311.6712986	13.43662619
313.829233	13.60829866
315.8568935	13.90105429
318.6727189	13.66563713
321.0686047	13.27730732
323.3608497	14.29049201
325.7205952	14.86329367
328.1339713	15.29456533
329.8899105	13.39720042
330.5128706	12.45025497
334.5447758	12.46175659
335.6154372	11.95214921
337.3852463	12.65955622
339.2036266	12.07388403
341.6446434	12.69638535
342.8555655	13.23425608
343.9151525	12.21299481
344.1105211	13.47411298
347.9862243	13.47411298
350.3370314	11.99807053
355.5499238	11.91606817
358.5746885	12.03743166
361.4385614	12.26750685
