Time [d]	Temp [C]
9.421445759	12.00707119
9.929860753	11.76822432
10.38320565	9.2349999
10.38360657	9.51372418
11.2927014	9.885314797
12.41263125	10.60677285
12.49573387	10.79293292
13.67777415	10.27090774
14.41905698	11.00745279
16.75992942	10.69341339
19.27829108	9.955798041
19.28686011	10.83473112
20.63288808	10.44918708
20.98301907	10.21571964
22.67268762	11.28500171
23.47409801	10.6592924
26.77895	11.09812614
27.22505711	10.61379776
27.99901353	10.14910248
29.0549184	10.7332212
29.61525663	10.97206807
32.52394671	10.4818633
35.17363876	10.98002963
36.38402703	11.27002352
37.41644026	11.77774358
39.54804755	11.0516837
40.48365477	10.6695287
40.65218893	10.40480675
42.23108792	11.50549276
44.81145627	10.66355753
44.96490797	11.02182784
49.53339979	11.20706258
49.58609782	11.49769368
50.09031834	9.247062873
51.11175145	11.88002498
51.51866757	10.60278709
53.89706058	9.673153901
54.71640309	9.050436406
56.41197201	11.68860869
56.62187083	9.37819449
57.10157745	11.88764776
57.41555895	9.89725714
57.54173503	11.26664588
58.30579328	10.78750458
59.53601989	10.93226026
60.07818498	11.4955408
63.10764604	11.93382482
64.4319481	11.72841651
65.70922636	10.99962733
65.74310381	9.89725714
65.74517322	11.51942549
68.60276558	12.51429977
70.0900139	11.73802529
71.80390858	11.24024702
72.51427142	12.3418187
74.75169075	12.85132854
74.80605364	12.08753379
77.26449527	13.24345501
78.63006782	12.8894777
79.18793351	12.4032537
80.60201745	13.70743346
81.47867652	12.683804
83.57070771	12.4582264
83.93741555	12.96411735
84.60553525	13.28611351
85.82277494	12.57575422
86.87933799	13.70492067
89.15119328	12.99729052
89.66014914	12.76341963
90.16442264	12.06507686
92.0472221	13.47353963
93.41647056	13.2149895
94.12421585	12.23366951
94.25596107	10.79850601
95.53180146	12.70370791
96.0408749	12.47091874
97.47315346	14.17659696
98.55483202	13.66521968
99.68827642	14.4714525
101.2394423	13.94438472
101.2408331	12.78664085
101.4358117	12.08668682
103.2141101	12.47328192
104.6424745	14.35004529
105.2651118	13.05507278
106.2258241	14.16806672
106.4248631	14.59457899
106.8860939	14.8580688
109.9340083	14.43136696
110.9866557	13.68231663
111.9746142	14.67838491
113.2012778	14.99265711
114.8991675	13.89794228
115.3326029	15.21671823
116.0760941	14.89313758
117.5481539	13.6872926
117.6490384	14.14721501
117.6998432	12.27353981
119.4544697	15.3841006
121.2251481	14.74054097
122.2867746	15.63894865
123.852264	14.39171226
124.4572585	13.71778641
124.8360419	13.99384291
125.1180139	14.94923041
125.2560307	13.18454438
127.2696156	13.44015243
127.3775958	14.59038869
127.5965616	15.18174422
129.0179601	15.96794851
131.325206	15.42258149
131.8033269	14.77733304
133.827948	13.04461524
134.9800847	15.84671563
135.4229073	13.44015243
137.0284357	14.21034706
137.4996033	15.04963692
137.7442102	15.35454632
139.1787311	14.46480552
140.4280906	15.96443606
140.9641217	16.26884874
141.1789081	15.62958211
141.4319398	17.10247117
144.1478893	15.17912529
147.1387498	16.63633452
147.9116207	16.01035249
148.2874092	15.71509519
148.8301893	16.95319187
150.2337067	16.2720802
151.1326215	17.15365264
153.0070633	18.2820395
153.5016459	17.42093366
155.3884723	17.67968444
155.9375124	18.90709199
156.8707569	18.67487975
159.0382429	18.48247532
159.1691327	16.91338406
161.016464	17.42673897
163.0940243	18.92367858
